show_id,type,title,director,cast,country,date_added,release_year,rating,duration,duration_int,duration_type,description
ds1,movie,duck the halls: a mickey mouse christmas special,"alonso ramirez ramos, dave wasson","chris diamantopoulos, tony anselmo, tress macneille, bill farmer, russi taylor, corey burton",,2021-11-26,2016,tv-g,23 min,23,min,join mickey and the gang as they duck the halls!
ds2,movie,ernest saves christmas,john cherry,"jim varney, noelle parker, douglas seale",,2021-11-26,1988,pg,91 min,91,min,santa claus passes his magic bag to a new st. nic.
ds3,movie,ice age: a mammoth christmas,karen disher,"raymond albert romano, john leguizamo, denis leary, queen latifah",united states,2021-11-26,2011,tv-g,23 min,23,min,sid the sloth is on santa's naughty list.
ds4,movie,the queen family singalong,hamish hamilton,"darren criss, adam lambert, derek hough, alexander jean, fall out boy, jimmie allen",,2021-11-26,2021,tv-pg,41 min,41,min,"this is real life, not just fantasy!"
ds5,tv show,the beatles: get back,,"john lennon, paul mccartney, george harrison, ringo starr",,2021-11-25,2021,g,1 season,1,season,a three-part documentary from peter jackson capturing a moment in music history with the beatles.
ds6,movie,becoming cousteau,liz garbus,"jacques yves cousteau, vincent cassel",united states,2021-11-24,2021,pg-13,94 min,94,min,an inside look at the legendary life of adventurer jacques-yves cousteau.
ds7,tv show,hawkeye,,"jeremy renner, hailee steinfeld, vera farmiga, fra fee, tony dalton, zahn mcclarnon",,2021-11-24,2021,tv-14,1 season,1,season,clint barton/hawkeye must team up with skilled archer kate bishop to unravel a criminal conspiracy.
ds8,tv show,port protection alaska,,"gary muehlberger, mary miller, curly leach, sam carlson, stuart andrews, david squibb",united states,2021-11-24,2015,tv-14,2 seasons,2,seasons,residents of port protection must combat volatile conditions to survive and thrive in alaska.
ds9,tv show,secrets of the zoo: tampa,,"dr. ray ball, dr. lauren smith, chris massaro, tiffany burns, mike burns, melinda mendolusky",united states,2021-11-24,2019,tv-pg,2 seasons,2,seasons,a day in the life at zootampa is anything but ordinary. it's extraordinary!
ds10,movie,a muppets christmas: letters to santa,kirk r. thatcher,"steve whitmire, dave goelz, bill barretta, eric jacobson",united states,2021-11-19,2008,g,45 min,45,min,celebrate the holiday season with all your favorite muppets.
ds11,movie,adventure thru the walt disney archives,john gleim,"don hahn, kathryn beaumont, pete docter, kevin feige, mark hamill, bob iger",,2021-11-19,2020,tv-pg,59 min,59,min,explore the treasures and rich history of the walt disney archives.
ds12,movie,puppy for hanukkah,,,,2021-11-19,2020,tv-g,4 min,4,min,"check out daveed digg's official music video ""puppy for hanukkah!"""
